date,y,m,d,dow,trading,eom,prev_trading_day
2015-04-11,2015,4,11,Sat,0,0,2015-04-10
2015-04-12,2015,4,12,Sun,0,0,2015-04-10
2015-04-13,2015,4,13,Mon,1,0,2015-04-10
2015-04-14,2015,4,14,Tue,1,0,2015-04-13
2015-04-15,2015,4,15,Wed,1,0,2015-04-14
2015-04-16,2015,4,16,Thu,1,0,2015-04-15
2015-04-17,2015,4,17,Fri,1,0,2015-04-16
2015-04-18,2015,4,18,Sat,0,0,2015-04-17
2015-04-19,2015,4,19,Sun,0,0,2015-04-17
2015-04-20,2015,4,20,Mon,1,0,2015-04-17
2015-04-21,2015,4,21,Tue,1,0,2015-04-20
2015-04-22,2015,4,22,Wed,1,0,2015-04-21
2015-04-23,2015,4,23,Thu,1,0,2015-04-22
2015-04-24,2015,4,24,Fri,1,0,2015-04-23
2015-04-25,2015,4,25,Sat,0,0,2015-04-24
2015-04-26,2015,4,26,Sun,0,0,2015-04-24
2015-04-27,2015,4,27,Mon,1,0,2015-04-24
2015-04-28,2015,4,28,Tue,1,0,2015-04-27
2015-04-29,2015,4,29,Wed,1,0,2015-04-28
2015-04-30,2015,4,30,Thu,1,1,2015-04-29
2015-05-01,2015,5,1,Fri,1,0,2015-04-30
2015-05-02,2015,5,2,Sat,0,0,2015-05-01
2015-05-03,2015,5,3,Sun,0,0,2015-05-01
2015-05-04,2015,5,4,Mon,1,0,2015-05-01
2015-05-05,2015,5,5,Tue,1,0,2015-05-04
2015-05-06,2015,5,6,Wed,1,0,2015-05-05
2015-05-07,2015,5,7,Thu,1,0,2015-05-06
2015-05-08,2015,5,8,Fri,1,0,2015-05-07
2015-05-09,2015,5,9,Sat,0,0,2015-05-08
2015-05-10,2015,5,10,Sun,0,0,2015-05-08
2015-05-11,2015,5,11,Mon,1,0,2015-05-08
2015-05-12,2015,5,12,Tue,1,0,2015-05-11
2015-05-13,2015,5,13,Wed,1,0,2015-05-12
2015-05-14,2015,5,14,Thu,1,0,2015-05-13
2015-05-15,2015,5,15,Fri,1,0,2015-05-14
2015-05-16,2015,5,16,Sat,0,0,2015-05-15
2015-05-17,2015,5,17,Sun,0,0,2015-05-15
2015-05-18,2015,5,18,Mon,1,0,2015-05-15
2015-05-19,2015,5,19,Tue,1,0,2015-05-18
2015-05-20,2015,5,20,Wed,1,0,2015-05-19
2015-05-21,2015,5,21,Thu,1,0,2015-05-20
2015-05-22,2015,5,22,Fri,1,0,2015-05-21
2015-05-23,2015,5,23,Sat,0,0,2015-05-22
2015-05-24,2015,5,24,Sun,0,0,2015-05-22
2015-05-25,2015,5,25,Mon,0,0,2015-05-22
2015-05-26,2015,5,26,Tue,1,0,2015-05-22
2015-05-27,2015,5,27,Wed,1,0,2015-05-26
2015-05-28,2015,5,28,Thu,1,0,2015-05-27
2015-05-29,2015,5,29,Fri,1,1,2015-05-28
2015-05-30,2015,5,30,Sat,0,0,2015-05-29
2015-05-31,2015,5,31,Sun,0,0,2015-05-29
2015-06-01,2015,6,1,Mon,1,0,2015-05-29
2015-06-02,2015,6,2,Tue,1,0,2015-06-01
2015-06-03,2015,6,3,Wed,1,0,2015-06-02
2015-06-04,2015,6,4,Thu,1,0,2015-06-03
2015-06-05,2015,6,5,Fri,1,0,2015-06-04
2015-06-06,2015,6,6,Sat,0,0,2015-06-05
2015-06-07,2015,6,7,Sun,0,0,2015-06-05
2015-06-08,2015,6,8,Mon,1,0,2015-06-05
2015-06-09,2015,6,9,Tue,1,0,2015-06-08
2015-06-10,2015,6,10,Wed,1,0,2015-06-09
2015-06-11,2015,6,11,Thu,1,0,2015-06-10
2015-06-12,2015,6,12,Fri,1,0,2015-06-11
2015-06-13,2015,6,13,Sat,0,0,2015-06-12
2015-06-14,2015,6,14,Sun,0,0,2015-06-12
2015-06-15,2015,6,15,Mon,1,0,2015-06-12
2015-06-16,2015,6,16,Tue,1,0,2015-06-15
2015-06-17,2015,6,17,Wed,1,0,2015-06-16
