symbol,date,open,high,low,close,adj_close,volume
SP500TR,2021-03-26,8121.33,8246.9,8121.33,8240.38,8240.38,0
SP500TR,2021-03-25,8042.96,8125.98,7990.02,8105.51,8105.51,0
SP500TR,2021-03-24,8126.82,8172.74,8062.95,8063,8063,0
SP500TR,2021-03-23,8162.98,8186.75,8088.51,8106.83,8106.83,0
SP500TR,2021-03-22,8119.17,8199.5,8114.38,8169.14,8169.14,0
SP500TR,2021-03-19,8112.22,8147.38,8057.74,8112.13,8112.13,0
SP500TR,2021-03-18,8195.02,8228.18,8106.64,8116.17,8116.17,0
SP500TR,2021-03-17,8186.47,8257.23,8158.06,8237.35,8237.35,0
SP500TR,2021-03-16,8236.19,8251.49,8194.41,8213.63,8213.63,0
SP500TR,2021-03-15,8172.49,8228.38,8132.22,8226.32,8226.32,0
SP500TR,2021-03-12,8133.9,8176.01,8114.76,8172.9,8172.9,0
SP500TR,2021-03-11,8113.28,8205.85,8113.28,8162.58,8162.58,0
SP500TR,2021-03-10,8063.94,8116.45,8051.18,8078.05,8078.05,0
SP500TR,2021-03-09,7980.49,8087.84,7980.49,8029.2,8029.2,0
SP500TR,2021-03-08,7964.14,8040.07,7912.34,7916.41,7916.41,0
SP500TR,2021-03-05,7858.8,7979.17,7727.67,7958.98,7958.98,0
SP500TR,2021-03-04,7910.12,7961.43,7712.97,7806.45,7806.45,0
SP500TR,2021-03-03,8002.9,8024.06,7909.86,7911.21,7911.21,0
SP500TR,2021-03-02,8084.6,8090.06,8012.84,8015.54,8015.54,0
SP500TR,2021-03-01,7957.96,8107.01,7957.96,8080.78,8080.78,0
SP500TR,2021-02-26,7951.84,7995.85,7848.05,7892.81,7892.81,0
SP500TR,2021-02-25,8108.58,8127.41,7897.98,7929.56,7929.56,0
SP500TR,2021-02-24,8020.3,8134.03,7991.14,8127.38,8127.38,0
SP500TR,2021-02-23,7985.76,8066.25,7879.38,8036.06,8036.06,0
SP500TR,2021-02-22,8044.55,8080.47,8022.63,8025.81,8025.81,0
SP500TR,2021-02-19,8117.6,8136.75,8081.47,8087.68,8087.68,0
SP500TR,2021-02-18,8106.15,8118.78,8042.5,8102.24,8102.24,0
SP500TR,2021-02-17,8111.32,8142.49,8074.51,8137.88,8137.88,0
SP500TR,2021-02-16,8153.69,8175.83,8121.47,8139.16,8139.16,0
SP500TR,2021-02-12,8094.81,8147.26,8083.61,8142.79,8142.79,0
SP500TR,2021-02-11,8104.25,8124,8050.71,8104.19,8104.19,0
SP500TR,2021-02-10,8111.66,8133.31,8037.52,8089.11,8089.11,0
SP500TR,2021-02-09,8090.18,8106.25,8074.04,8091.7,8091.7,0
SP500TR,2021-02-08,8051.75,8099.41,8051.75,8099.33,8099.33,0
SP500TR,2021-02-05,8022.02,8055.57,8015.14,8039.67,8039.67,0
SP500TR,2021-02-04,7935.06,8008.41,7935.06,8007.62,8007.62,0
SP500TR,2021-02-03,7941.73,7956.68,7893.06,7920.85,7920.85,0
SP500TR,2021-02-02,7841.58,7947.56,7841.58,7912.87,7912.87,0
SP500TR,2021-02-01,7716.04,7825.95,7704.89,7804.31,7804.31,0
SP500TR,2021-01-29,7812.94,7812.94,7639.4,7681.01,7681.01,0
SP500TR,2021-01-28,7765.84,7920.18,7765.84,7831.22,7831.22,0
SP500TR,2021-01-27,7932.67,7932.67,7717.66,7754.74,7754.74,0
SP500TR,2021-01-26,7986.68,8001.99,7955.36,7959.1,7959.1,0
SP500TR,2021-01-25,7963.33,7978.91,7850.6,7970.92,7970.92,0
SP500TR,2021-01-22,7947.95,7964.63,7919.75,7942.2,7942.2,0
SP500TR,2021-01-21,7975.19,7983.28,7949.7,7966.11,7966.11,0
SP500TR,2021-01-20,7889.27,7979.26,7889.27,7962.92,7962.92,0
SP500TR,2021-01-19,7818.26,7864.88,7815.26,7853.47,7853.47,0
SP500TR,2021-01-15,7832.13,7832.13,7751.66,7789.79,7789.79,0
SP500TR,2021-01-14,7886.27,7903.98,7840.56,7846.1,7846.1,0
SP500TR,2021-01-13,7859.01,7897.71,7837.12,7874.75,7874.75,0
SP500TR,2021-01-12,7857.6,7876.47,7806.15,7856.72,7856.72,0
SP500TR,2021-01-11,7860.76,7891.07,7831.67,7853.45,7853.45,0
SP500TR,2021-01-08,7885.36,7909.32,7820.38,7905.28,7905.28,0
SP500TR,2021-01-07,7780.35,7876.67,7780.35,7861.1,7861.1,0
SP500TR,2021-01-06,7744.43,7744.43,7744.43,7744.43,7744.43,0
SP500TR,2021-01-05,7640.77,7722.69,7635.64,7700.34,7700.34,0
SP500TR,2021-01-04,7777.41,7788.35,7567.08,7645.27,7645.27,0
SP500TR,2020-12-31,7712.24,7767.17,7699.05,7759.35,7759.35,0
SP500TR,2020-12-30,7717.67,7735.04,7705.32,7709.1,7709.1,0
SP500TR,2020-12-29,7745.38,7757.76,7690.22,7697.93,7697.93,0
SP500TR,2020-12-28,7689.64,7725.74,7689.64,7715.1,7715.1,0
SP500TR,2020-12-24,7629.75,7649.79,7620.12,7648.39,7648.39,0
SP500TR,2020-12-23,7627.67,7664.44,7619.82,7620.63,7620.63,0
SP500TR,2020-12-22,7637.18,7637.48,7591.91,7614.83,7614.83,0
SP500TR,2020-12-21,7608.11,7646.22,7509.69,7630.07,7630.07,0
SP500TR,2020-12-18,7686.56,7695.16,7611.18,7659.75,7659.75,0
SP500TR,2020-12-17,7667.96,7691.2,7662.29,7686.18,7686.18,0
SP500TR,2020-12-16,7631.65,7662.65,7615.79,7641.82,7641.82,0
SP500TR,2020-12-15,7570.02,7629.65,7556.01,7628.28,7628.28,0
SP500TR,2020-12-14,7588.2,7634.3,7530.21,7530.87,7530.87,0
SP500TR,2020-12-11,7547.24,7567.43,7500.48,7562.46,7562.46,0
SP500TR,2020-12-10,7553.35,7593.32,7524.94,7571.87,7571.87,0
SP500TR,2020-12-09,7649.51,7662.45,7555.71,7581.06,7581.06,0
SP500TR,2020-12-08,7601.8,7654.16,7593.28,7641.43,7641.43,0
SP500TR,2020-12-07,7625.71,7631.24,7593.11,7620,7620,0
SP500TR,2020-12-04,7576.61,7634.81,7576.61,7634.77,7634.77,0
SP500TR,2020-12-03,7570.66,7600.41,7548.24,7567.44,7567.44,0
SP500TR,2020-12-02,7539.35,7574.03,7521.57,7570.76,7570.76,0
SP500TR,2020-12-01,7522.3,7589.22,7522.3,7556.51,7556.51,0
SP500TR,2020-11-30,7497.94,7497.94,7416.46,7472.06,7472.06,0
SP500TR,2020-11-27,7505.77,7517.66,7486.95,7505.38,7505.38,0
SP500TR,2020-11-25,7498.76,7498.76,7462.17,7486.68,7486.68,0
SP500TR,2020-11-24,7413.97,7512.14,7413.97,7498.29,7498.29,0
SP500TR,2020-11-23,7356.72,7403.7,7327.75,7378.94,7378.94,0
SP500TR,2020-11-20,7381.65,7385.6,7335.75,7336.76,7336.76,0
SP500TR,2020-11-19,7340.55,7393.59,7309.2,7386.86,7386.86,0
SP500TR,2020-11-18,7448.67,7463.07,7356.81,7357.34,7357.34,0
SP500TR,2020-11-17,7443.64,7469.99,7399.21,7442.04,7442.04,0
SP500TR,2020-11-16,7421.66,7478.34,7421.66,7476.79,7476.79,0
SP500TR,2020-11-13,7323.46,7408.11,7323.46,7390.61,7390.61,0
SP500TR,2020-11-12,7343.57,7356.58,7252.72,7290.69,7290.69,0
SP500TR,2020-11-11,7343.21,7380.13,7330.44,7362.65,7362.65,0
SP500TR,2020-11-10,7302.06,7330.83,7237.7,7306.75,7306.75,0
SP500TR,2020-11-09,7382.81,7511.31,7311.15,7315.77,7315.77,0
SP500TR,2020-11-06,7228.26,7254.24,7178.81,7230.51,7230.51,0
SP500TR,2020-11-05,7180.78,7269.9,7180.78,7231.67,7231.67,0
SP500TR,2020-11-04,7016.15,7179.92,7014.63,7092.3,7092.3,0
SP500TR,2020-11-03,6871.53,6981.17,6871.53,6939.3,6939.3,0
SP500TR,2020-11-02,6788.96,6858.65,6755.13,6817.89,6817.89,0
SP500TR,2020-10-30,6783.49,6806.43,6660.69,6734.84,6734.84,0
SP500TR,2020-10-29,6748.97,6880.28,6713.58,6816.79,6816.79,0
SP500TR,2020-10-28,6882.88,6882.88,6731.9,6735.75,6735.75,0
SP500TR,2020-10-27,7007.8,7020.45,6978.18,6982.14,6982.14,0
SP500TR,2020-10-26,7086.5,7086.5,6928.88,7003.21,7003.21,0
SP500TR,2020-10-23,7134.8,7137.66,7084.8,7135.81,7135.81,0
SP500TR,2020-10-22,7080.3,7125.47,7032.96,7111.17,7111.17,0
SP500TR,2020-10-21,7082.61,7133.86,7068.59,7073.65,7073.65,0
SP500TR,2020-10-20,7081.37,7158.67,7073.88,7089.06,7089.06,0
SP500TR,2020-10-19,7192.99,7210.94,7041.71,7055.58,7055.58,0
SP500TR,2020-10-16,7192.66,7238.33,7170.73,7172.7,7172.7,0
SP500TR,2020-10-15,7110.62,7183.39,7084.63,7171.61,7171.61,0
SP500TR,2020-10-14,7237.56,7263.23,7165.71,7182.38,7182.38,0
SP500TR,2020-10-13,7275,7275,7206.83,7229.55,7229.55,0
SP500TR,2020-10-12,7205.03,7307.55,7205.03,7275.43,7275.43,0
SP500TR,2020-10-09,7121.98,7168.48,7118.69,7157.94,7157.94,0
SP500TR,2020-10-08,7069.58,7096.1,7056.97,7095.4,7095.4,0
SP500TR,2020-10-07,6965.12,7050.9,6965.12,7036.89,7036.89,0
SP500TR,2020-10-06,7014.74,7061.56,6903.47,6916.43,6916.43,0
SP500TR,2020-10-05,6929.14,7015.99,6929.14,7014.17,7014.17,0
SP500TR,2020-10-02,6870.09,6932.14,6839.04,6889.6,6889.6,0
SP500TR,2020-10-01,6966.63,6989.43,6916.53,6956.2,6956.2,0
SP500TR,2020-09-30,6874.01,6981.61,6872.5,6918.83,6918.83,0
SP500TR,2020-09-29,6893.74,6908.12,6845.82,6861.96,6861.96,0
SP500TR,2020-09-28,6857.87,6913.07,6855.9,6894.27,6894.27,0
SP500TR,2020-09-25,6657.83,6802.14,6642.04,6784.95,6784.95,0
SP500TR,2020-09-24,6635.98,6744,6602.36,6678.04,6678.04,0
SP500TR,2020-09-23,6828.92,6835.21,6649.24,6657.82,6657.82,0
SP500TR,2020-09-22,6778.33,6828.67,6727.32,6819.08,6819.08,0
SP500TR,2020-09-21,6757.35,6757.35,6641.33,6748.08,6748.08,0
SP500TR,2020-09-18,6904.68,6913.83,6771.06,6826.72,6826.72,0
SP500TR,2020-09-17,6882.96,6940.99,6845.9,6903.82,6903.82,0
SP500TR,2020-09-16,7015.21,7051.51,6960.53,6962.29,6962.29,0
SP500TR,2020-09-15,7007.77,7031.43,6969.87,6994.33,6994.33,0
SP500TR,2020-09-14,6916.83,6997.51,6916.83,6957.91,6957.91,0
SP500TR,2020-09-11,6892.34,6924.81,6805.53,6868.22,6868.22,0
SP500TR,2020-09-10,7015.06,7041.75,6844.42,6864.23,6864.23,0
SP500TR,2020-09-09,6926.86,7039.71,6920.95,6986.76,6986.76,0
SP500TR,2020-09-08,6930.72,6946.92,6843.17,6848.42,6848.42,0
SP500TR,2020-09-04,7098.38,7150.44,6886.63,7043.62,7043.62,0
SP500TR,2020-09-03,7326.76,7326.93,7044.82,7101.38,7101.38,0
SP500TR,2020-09-02,7282.28,7373.35,7265.2,7358.49,7358.49,0
SP500TR,2020-09-01,7206.9,7249.21,7180.76,7246.37,7246.37,0
SP500TR,2020-08-31,7211.47,7221.83,7177.81,7192.11,7192.11,0
SP500TR,2020-08-28,7179.73,7209.56,7158.42,7207.1,7207.1,0
SP500TR,2020-08-27,7159.38,7192.73,7125.35,7158.18,7158.18,0
SP500TR,2020-08-26,7086.68,7150.52,7075,7145.77,7145.77,0
SP500TR,2020-08-25,7057.84,7074.57,7037.16,7073.6,7073.6,0
SP500TR,2020-08-24,7021.07,7048.82,7010.91,7048.17,7048.17,0
SP500TR,2020-08-21,6954.39,6982.97,6941,6977.27,6977.27,0
SP500TR,2020-08-20,6901.52,6963.52,6889.85,6952.92,6952.92,0
SP500TR,2020-08-19,6967.07,6981.41,6920.37,6930.8,6930.8,0
SP500TR,2020-08-18,6954.69,6971.02,6920.08,6960.3,6960.3,0
SP500TR,2020-08-17,6940.89,6954.67,6937.54,6943.22,6943.22,0
SP500TR,2020-08-14,6915.68,6935.89,6901.28,6924.28,6924.28,0
SP500TR,2020-08-13,6923.97,6953.27,6904.49,6924.96,6924.96,0
SP500TR,2020-08-12,6886.36,6952.81,6886.36,6937.44,6937.44,0
SP500TR,2020-08-11,6915.89,6937.66,6825.8,6840.67,6840.67,0
SP500TR,2020-08-10,6886.5,6901.1,6845.07,6895.59,6895.59,0
SP500TR,2020-08-07,6853.6,6879.03,6830.55,6876.65,6876.65,0
SP500TR,2020-08-06,6817.56,6874.68,6807.27,6870.86,6870.86,0
SP500TR,2020-08-05,6804.89,6832.09,6804.89,6826.22,6826.22,0
SP500TR,2020-08-04,6748.58,6783.11,6741.29,6782.6,6782.6,0
SP500TR,2020-08-03,6745.17,6774.85,6737.72,6758.2,6758.2,0
SP500TR,2020-07-31,6708.41,6711.95,6606.32,6709.81,6709.81,0
SP500TR,2020-07-30,6628.36,6667.65,6572.89,6658.02,6658.02,0
SP500TR,2020-07-29,6617.99,6694.93,6617.99,6682.01,6682.01,0
SP500TR,2020-07-28,6632.45,6651.76,6595.32,6599.97,6599.97,0
SP500TR,2020-07-27,6602.76,6647.04,6591.33,6642.89,6642.89,0
SP500TR,2020-07-24,6600.16,6617.8,6562.16,6594.1,6594.1,0
SP500TR,2020-07-23,6708.82,6725.83,6608.63,6635.04,6635.04,0
SP500TR,2020-07-22,6673.92,6724.05,6670.3,6717.29,6717.29,0
